Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,Export Share in Total Products (%),Export (US$ Thousand),Export Partner Share (%),Transaction_ID,Export_Value_USD,Export_Value_Millions,Region,YoY_Growth_Rate,YoY_Growth_Absolute
Rwanda,"Egypt, Arab Rep.",2021,Export,5.0,0.22,11360.01,0.73,RW-EGY-2021,11360010.0,11.36001,Africa,10.375909313056297,1067.8999999999996
Rwanda,"Egypt, Arab Rep.",2022,Export,14.0,0.61,15414.07,0.76,RW-EGY-2022,15414070.0,15.414069999999999,Africa,35.687116472608736,4054.0599999999995
Rwanda,Eritrea,2018,Export,1.0,0.05,51.65,0.01,RW-ERI-2018,51650.0,0.05165,Africa,,
Rwanda,Eritrea,2019,Export,2.0,0.09,487.75,0.04,RW-ERI-2019,487750.0,0.48775,Africa,844.3368828654405,436.1
Rwanda,Eritrea,2020,Export,1.0,0.05,7.37,0.0,RW-ERI-2020,7370.0,0.00737,Africa,-98.48898001025115,-480.38
Rwanda,Eritrea,2021,Export,1.0,0.04,325.08,0.02,RW-ERI-2021,325080.0,0.32508,Africa,4310.854816824965,317.71
Rwanda,Eritrea,2022,Export,1.0,0.04,23.87,0.0,RW-ERI-2022,23870.0,0.023870000000000002,Africa,-92.65719207579673,-301.21
Rwanda,Estonia,2019,Export,10.0,0.45,7.3,0.0,RW-EST-2019,7300.0,0.0073,Europe & Central Asia,,
Rwanda,Estonia,2022,Export,1.0,0.04,0.69,0.0,RW-EST-2022,690.0,0.00069,Europe & Central Asia,-90.54794520547945,-6.609999999999999
Rwanda,Eswatini,2018,Export,3.0,0.15,338.42,0.03,RW-ESW-2018,338420.0,0.33842,Africa,,
Rwanda,Eswatini,2019,Export,1.0,0.04,53.22,0.0,RW-ESW-2019,53220.0,0.053219999999999996,Africa,-84.27397907925064,-285.20000000000005
Rwanda,Eswatini,2020,Export,3.0,0.15,653.29,0.05,RW-ESW-2020,653290.0,0.6532899999999999,Africa,1127.5272453964676,600.0699999999999
Rwanda,Eswatini,2021,Export,17.0,0.76,277.91,0.02,RW-ESW-2021,277910.0,0.27791000000000005,Africa,-57.459933567022304,-375.37999999999994
Rwanda,Eswatini,2022,Export,2.0,0.09,3.15,0.0,RW-ESW-2022,3150.0,0.00315,Africa,-98.86653952718505,-274.76000000000005
Rwanda,Ethiopia(excludes Eritrea),2018,Export,7.0,0.34,2889.12,0.29,RW-ETH-2018,2889120.0,2.8891199999999997,Africa,,
Rwanda,Ethiopia(excludes Eritrea),2019,Export,4.0,0.18,9750.54,0.86,RW-ETH-2019,9750540.0,9.75054,Africa,237.49169297225458,6861.420000000001
Rwanda,Ethiopia(excludes Eritrea),2020,Export,18.0,0.87,2793.18,0.2,RW-ETH-2020,2793180.0,2.79318,Africa,-71.35358657058994,-6957.360000000001
Rwanda,Ethiopia(excludes Eritrea),2021,Export,29.0,1.29,23503.47,1.5,RW-ETH-2021,23503470.0,23.50347,Africa,741.4591970442293,20710.29
Rwanda,Ethiopia(excludes Eritrea),2022,Export,7.0,0.31,36533.07,1.81,RW-ETH-2022,36533070.0,36.53307,Africa,55.436920590874436,13029.599999999999
Rwanda,Europe & Central Asia,2018,Export,254.0,12.46,237185.91,23.62,RW-EUR-2018,237185910.0,237.18591,Other/Regional Grouping,,
Rwanda,Europe & Central Asia,2019,Export,241.0,10.76,149704.04,13.23,RW-EUR-2019,149704040.0,149.70404000000002,Other/Regional Grouping,-36.88324909350644,-87481.87
Rwanda,Europe & Central Asia,2020,Export,204.0,9.89,156047.51,10.9,RW-EUR-2020,156047510.0,156.04751000000002,Other/Regional Grouping,4.237340555405189,6343.470000000001
Rwanda,Europe & Central Asia,2021,Export,272.0,12.13,156083.02,9.99,RW-EUR-2021,156083020.0,156.08301999999998,Other/Regional Grouping,0.022755890177283966,35.50999999998021
Rwanda,Europe & Central Asia,2022,Export,263.0,11.49,164636.99,8.15,RW-EUR-2022,164636990.0,164.63699,Other/Regional Grouping,5.480397547407789,8553.970000000001
Rwanda,Finland,2018,Export,2.0,0.1,135.85,0.01,RW-FIN-2018,135850.0,0.13585,Europe & Central Asia,,
Rwanda,Finland,2020,Export,3.0,0.15,1147.81,0.08,RW-FIN-2020,1147810.0,1.14781,Europe & Central Asia,744.9098270150902,1011.9599999999999
Rwanda,Finland,2021,Export,8.0,0.36,206.31,0.01,RW-FIN-2021,206310.0,0.20631,Europe & Central Asia,-82.02577081572734,-941.5
Rwanda,Finland,2022,Export,21.0,0.92,3749.78,0.19,RW-FIN-2022,3749780.0,3.7497800000000003,Europe & Central Asia,1717.5464107411176,3543.4700000000003
Rwanda,France,2018,Export,34.0,1.67,1744.63,0.17,RW-FRA-2018,1744630.0,1.7446300000000001,Europe & Central Asia,,
