Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Rwanda,Luxembourg,2022,Exports & Imports,4,16,0.17,0.44,10422.47,10485.13,62.66,0,0.52,17,10.01,16,68.75,31.25,0,0,35,0,0,183.01,0.23,17,10.01,16,68.75,31.25,0,0,35,0,0,183.01,0.23,
Rwanda,Latvia,2022,Exports & Imports,,19,,0.52,,,229.98,0,,3.5,0.1,10,20,80,0,0,25,0,0,0.43,54.11,3.5,0.1,10,20,80,0,0,25,0,0,0.43,54.11,
Rwanda,Macao,2022,Exports & Imports,,46,,1.25,,,2.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Morocco,2022,Exports & Imports,2,66,0.09,1.8,-32552.76,19.82,32572.58,0.64,0,15.76,24.76,30,63.33,36.67,0,0,35,0,0,1974.04,22.67,15.76,24.76,30,63.33,36.67,0,0,35,0,0,1974.04,22.67,
Rwanda,Moldova,2022,Exports & Imports,1,2,0.04,0.05,-3.59,5.24,8.83,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Madagascar,2022,Exports & Imports,17,38,0.74,1.04,-160.89,36.05,196.94,0,0,19.3,16.09,33,78.79,21.21,0,0,35,0,0,383.27,34.95,19.3,16.09,33,78.79,21.21,0,0,35,0,0,383.27,34.95,
Rwanda,Middle East & North Africa,2022,Exports & Imports,192,2313,8.39,63.09,-174853.06,612459.2,787312.26,15.36,30.33,16.34,16.74,1856,70.2,28.45,0.43,0.92,533.67,0,8612.23,146432.61,52618.02,16.07,16.74,1598,70.9,27.97,0.32,0.65,533.67,0,8612.23,146432.61,52618.02,
Rwanda,Mexico,2022,Exports & Imports,,162,,4.42,,,2531.13,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Marshall Islands,2022,Exports & Imports,,1,,0.03,,,11736.79,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,North Macedonia,2022,Exports & Imports,,36,,0.98,,,978.17,0.02,,30,29.7,11,81.82,18.18,0,0,35,0,0,14.63,0,30,29.7,11,81.82,18.18,0,0,35,0,0,14.63,0,
Rwanda,Mali,2022,Exports & Imports,14,118,0.61,3.22,-696.3,30.65,726.95,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Malta,2022,Exports & Imports,,9,,0.25,,,3834.32,0.07,,7.35,8.29,14,50,50,0,0,25,0,0,2005.09,41.37,7.35,8.29,14,50,50,0,0,25,0,0,2005.09,41.37,
Rwanda,Myanmar,2022,Exports & Imports,2,7,0.09,0.19,1009.53,1014.9,5.37,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Mongolia,2022,Exports & Imports,,2,,0.05,,,7.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Montenegro,2022,Exports & Imports,,14,,0.38,,,11.42,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Mozambique,2022,Exports & Imports,20,14,0.87,0.38,-1859.89,80.45,1940.33,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Mauritius,2022,Exports & Imports,3,76,0.13,2.07,-7274,160.53,7434.53,0.15,0.01,16.77,28.56,21,61.9,33.33,0,4.76,100,0,0,776.08,13.32,16.77,28.56,21,61.9,33.33,0,4.76,100,0,0,776.08,13.32,
Rwanda,Malawi,2022,Exports & Imports,20,60,0.87,1.64,-32642.19,79.1,32721.29,0.64,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Malaysia,2022,Exports & Imports,15,193,0.66,5.26,-54814.83,6511.29,61326.12,1.2,0.32,9.26,8.28,32,50,50,0,0,35,0,0,506.76,295.11,9.26,8.28,32,50,50,0,0,35,0,0,506.76,295.11,
Rwanda,North America,2022,Exports & Imports,195,1413,8.52,38.54,-66070.95,26984.21,93055.16,1.82,1.34,12,15.74,336,45.24,51.19,1.49,2.08,533.67,0,883.15,11242.2,14034.54,11.44,15.74,302,47.35,50,1.19,1.19,533.67,0,883.15,11242.2,14034.54,
Rwanda,Namibia,2022,Exports & Imports,,56,,1.53,,,286.05,0.01,,16.92,30.57,15,66.67,33.33,0,0,35,0,0,182.41,22.48,16.92,30.57,15,66.67,33.33,0,0,35,0,0,182.41,22.48,
Rwanda,New Caledonia,2022,Exports & Imports,,6,,0.16,,,1.53,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Niger,2022,Exports & Imports,1,34,0.04,0.93,375.41,457.5,82.09,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Nigeria,2022,Exports & Imports,23,177,1,4.83,-2136.3,744.12,2880.42,0.06,0.04,17.5,15.42,2,50,50,0,0,35,0,0,7.11,9.04,17.5,15.42,2,50,50,0,0,35,0,0,7.11,9.04,
Rwanda,Nicaragua,2022,Exports & Imports,,2,,0.05,,,59.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Netherlands,2022,Exports & Imports,30,744,1.31,20.29,-18387.2,14893.84,33281.05,0.65,0.74,13.32,13.34,577,59.79,38.82,0.69,0.69,533.67,0,30.76,9874.97,11216.76,13.32,13.34,577,59.79,38.82,0.69,0.69,533.67,0,30.76,9874.97,11216.76,
Rwanda,Norway,2022,Exports & Imports,10,29,0.44,0.79,-521.32,120.69,642.02,0.01,0.01,25.26,2.13,27,40.74,37.04,11.11,11.11,533.67,0,3.8,152.48,1308.49,25.26,2.13,27,40.74,37.04,11.11,11.11,533.67,0,3.8,152.48,1308.49,
Rwanda,Nepal,2022,Exports & Imports,,6,,0.16,,,16.62,0,,10,10,1,100,0,0,0,10,10,0,0.11,0,10,10,1,100,0,0,0,10,10,0,0.11,0,
Rwanda,New Zealand,2022,Exports & Imports,4,25,0.17,0.68,-909.21,564.47,1473.69,0.03,0.03,1,0.01,6,16.67,83.33,0,0,10,0,0,0.48,175.87,1,0.01,6,16.67,83.33,0,0,10,0,0,0.48,175.87,
Rwanda,"Other Asia, nes",2022,Exports & Imports,,,,,-4118.39,874.87,4993.26,0.1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Oman,2022,Exports & Imports,3,67,0.13,1.83,-44416.69,190.35,44607.04,0.87,0.01,9.38,4.21,11,36.36,45.45,18.18,0,35,0,7.71,128.19,259.35,9.38,4.21,11,36.36,45.45,18.18,0,35,0,7.71,128.19,259.35,
Rwanda,Pakistan,2022,Exports & Imports,4,141,0.17,3.85,-14703.55,38858.23,53561.78,1.05,1.92,14.71,1.73,20,50,50,0,0,25,0,0,45.27,607.13,14.71,1.73,20,50,50,0,0,25,0,0,45.27,607.13,
Rwanda,Panama,2022,Exports & Imports,,14,,0.38,,,1511.86,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Peru,2022,Exports & Imports,,39,,1.06,,,46.75,0,,9.8,11.09,43,79.07,20.93,0,0,35,0,0,41.53,1.5,9.8,11.09,43,79.07,20.93,0,0,35,0,0,41.53,1.5,
Rwanda,Philippines,2022,Exports & Imports,7,64,0.31,1.75,-1482.78,19.9,1502.68,0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Palau,2022,Exports & Imports,,1,,0.03,,,5.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,
